Manufacturer,Model,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Sales_in_thousands,__year_resale_value
Acura,Integra,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,58.28014952,16.919,16.36
Acura,TL,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,91.37077766,39.384,19.875
Acura,CL,Passenger,,3.2,225,106.9,70.6,192,3.47,17.2,26,,14.114,18.225
Acura,RL,Passenger,42,3.5,210,114.6,71.4,196.6,3.85,18,22,91.38977933,8.588,29.725
Audi,A4,Passenger,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,62.7776392,20.397,22.255
Audi,A6,Passenger,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,84.56510502,18.78,23.555
Audi,A8,Passenger,62,4.2,310,113,74,198.2,3.902,23.7,21,134.6568582,1.38,39
BMW,323i,Passenger,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,71.19120671,19.747,
BMW,328i,Passenger,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,81.87706856,9.231,28.675
BMW,528i,Passenger,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,83.9987238,17.527,36.125
Buick,Century,Passenger,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,71.18145132,91.561,12.475
Buick,Regal,Passenger,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,95.63670253,39.35,13.74
Buick,Park Avenue,Passenger,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,85.82840825,27.851,20.19
Buick,LeSabre,Passenger,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,84.25452581,83.257,13.36
Cadillac,DeVille,Passenger,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,113.8545976,63.729,22.525
Cadillac,Seville,Passenger,44.475,4.6,275,112.2,75,201,,18.5,22,115.6213578,15.943,27.1
Cadillac,Eldorado,Passenger,39.665,4.6,275,108,75.5,200.6,3.843,19,22,113.7658739,6.536,25.725
Cadillac,Catera,Passenger,31.01,3,200,107.4,70.3,194.8,3.77,18,22,83.48309358,11.185,18.225
Cadillac,Escalade,Car,46.225,5.7,255,117.5,77,201.2,5.572,30,15,109.5091165,14.785,
Cadillac,Eldorado,Passenger,39.665,4.6,275,108,75.5,200.6,3.843,19,22,113.7658739,6.536,25.725
Chevrolet,Cavalier,Passenger,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,46.36334747,145.519,9.25
Chevrolet,Malibu,Passenger,16.535,3.1,170,107,69.4,190.4,3.051,15,25,67.31446216,135.126,11.225
Chevrolet,Lumina,Passenger,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,69.9913956,24.629,10.31
Chevrolet,Monte Carlo,Passenger,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,72.03091719,42.593,11.525
Chevrolet,Camaro,Passenger,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,81.11854333,26.402,13.025
Chevrolet,Corvette,Passenger,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,141.14115,17.947,36.225
Chevrolet,Prizm,Passenger,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,48.2976361,32.299,9.125
Chevrolet,Metro,Passenger,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,23.27627233,21.855,5.16
Chevrolet,Impala,Passenger,18.89,3.4,180,110.5,73,200,3.389,17,27,71.83803944,107.995,
Chrysler,Sebring Coupe,Passenger,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,65.95718396,7.854,12.36
Chrysler,Sebring Conv.,Passenger,24.495,2.5,168,106,69.2,193,3.332,16,24,69.52135505,32.775,14.18
Chrysler,Concorde,Passenger,22.245,2.7,200,113,74.4,209.1,3.452,17,26,80.02378204,31.148,13.725
Chrysler,Cirrus,Passenger,16.48,2,132,108,71,186,2.911,16,27,53.56619987,32.306,12.64
Chrysler,LHS,Passenger,28.34,3.5,253,113,74.4,207.7,3.564,17,23,101.3292807,13.462,17.325
Chrysler,Town & Country,Car,,,,,,,,,,,53.48,19.54
Chrysler,300M,Passenger,29.185,3.5,253,113,74.4,197.8,3.567,17,23,101.6552441,30.696,
Dodge,Neon,Passenger,12.64,2,132,105,74.4,174.4,2.567,12.5,29,52.08489875,76.034,7.75
Dodge,Avenger,Passenger,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,65.65050834,4.734,12.545
Dodge,Stratus,Passenger,20.23,2.5,168,108,71,186,3.058,16,24,67.87610784,71.186,10.185
Dodge,Intrepid,Passenger,22.505,2.7,202,113,74.7,203.7,3.489,17,,80.83147017,88.028,12.275
Dodge,Viper,Passenger,69.725,8,450,96.2,75.7,176.7,3.375,19,16,188.144323,0.916,58.47
Dodge,Ram Pickup,Car,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,90.21170005,227.061,15.06
Dodge,Ram Wagon,Car,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,71.13529161,16.767,15.51
Dodge,Ram Van,Car,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,70.07832154,31.038,13.425
Dodge,Dakota,Car,16.98,2.5,120,131,71.5,215,3.557,22,19,49.64500177,111.313,11.26
Dodge,Durango,Car,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,92.85412522,101.323,
Dodge,Caravan,Car,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,61.22700031,181.749,12.025
Ford,Escort,Passenger,12.07,2,110,98.4,67,174.7,2.468,12.7,30,44.08370946,70.227,7.425
Ford,Mustang,Passenger,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,76.50918456,113.369,12.76
Ford,Contour,Passenger,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,67.35101072,35.068,8.835
Ford,Taurus,Passenger,17.885,3,155,108.5,73,197.6,3.368,16,24,62.5037395,245.815,10.055
Ford,Focus,Passenger,12.315,2,107,103,66.9,174.8,2.564,13.2,30,43.11713201,175.67,
